NOME,Ano,FASE,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,PEDRA,PONTO_VIRADA,NIVEL_IDEAL,DEFASAGEM,ANO
239,2023.0,3.0,5.3211195652173915,5.0,4.7675,8.434782608695652,7.4675,4.0,4.0,6.080913043478261,Quartzo,0,Não,5.0,2023
240,2023.0,3.0,5.529833333333333,5.0,4.955,9.523809523809524,7.655,4.0,4.0,6.591523809523809,Ágata,0,Não,5.0,2023
243,2023.0,6.0,7.155000000000001,8.0,8.275,9.285714285714286,10.0,4.5,4.0,8.024285714285716,Ametista,1,Não,2.0,2023
245,2023.0,3.0,5.0320329024676855,5.0,3.0864864864864865,9.043478260869565,5.786486486486487,4.5,4.0,5.751985898942421,Quartzo,0,Não,5.0,2023
246,2023.0,4.0,7.895922131147541,8.0,6.9875,9.426229508196721,9.6875,8.5,4.0,8.265491803278689,Ametista,1,Não,2.0,2023
247,2023.0,3.0,5.455166666666667,5.0,5.695,8.333333333333334,8.395,3.5,4.0,6.311333333333335,Quartzo,0,Não,5.0,2023
248,2023.0,3.0,4.492694444444444,7.0,3.9274999999999998,8.88888888888889,6.6274999999999995,0.0,4.0,5.126555555555556,Quartzo,0,Não,3.0,2023
249,2023.0,5.0,6.4672685185185195,7.0,6.2625,8.703703703703704,8.9625,5.0,4.0,6.986481481481482,Ágata,0,Não,3.0,2023
250,2023.0,4.0,7.740787671232877,7.0,7.125,9.452054794520548,9.825,8.5,4.0,8.330821917808219,Ametista,1,Não,3.0,2023
251,2023.0,7.0,6.084577235772358,9.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Não,1.0,2023
252,2023.0,6.0,6.696040540540541,8.0,5.885,9.0990990990991,8.585,5.333333333333333,4.0,7.060306306306306,Ágata,1,Não,2.0,2023
255,2023.0,6.0,6.595500000000001,8.0,7.415000000000001,6.517857142857143,10.0,4.5,4.0,6.573142857142859,Ágata,0,Não,2.0,2023
257,2023.0,4.0,2.336666666666667,6.0,0.0,3.333333333333333,2.7,0.0,4.0,1.3333333333333333,Quartzo,0,Não,4.0,2023
258,2023.0,3.0,6.24684649122807,6.0,6.2275,9.56140350877193,8.9275,4.5,4.0,7.215561403508772,Ágata,1,Não,4.0,2023
261,2023.0,3.0,6.105949098621421,6.0,4.902439024390244,8.608695652173914,7.602439024390244,6.0,4.0,6.6044538706256635,Ágata,0,Não,4.0,2023
263,2023.0,4.0,5.603552816901409,7.0,4.532500000000001,8.098591549295776,7.232500000000001,4.0,4.0,5.85243661971831,Ágata,0,Não,3.0,2023
